ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"ARDUINO-NANO"	"M1"	"ARDUINO-NANO-3.0"	"1"	""	""	""	""	""
"2"	"09 18 516 7323"	"P2"	"918516X323"	"1"	""	""	""	""	""
"3"	"3.5mm_Audio_Jack_KK"	"1,2,3,4,5,6,CLOCK_IN"	"PJ-3111-3A"	"7"	"PJ-3111-3A"	"Korean Hroarts Elec"	"LCSC"	"C145817"	"0.029"
"4"	"10nF"	"C1,C2"	"C0603"	"2"	"0603B103K500NT"	"FH(风华)"	"LCSC"	"C57112"	""
"5"	"470Ω"	"R1,R2,R3,R4,R5,R6,R7"	"R0603"	"7"	"0603WAF4700T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C23179"	""
"6"	"100kΩ"	"R8"	"R0603"	"1"	"0603WAF1003T5E"	"UniOhm"	"LCSC"	"C25803"	""
"7"	"3.3kΩ"	"R9,R10"	"R0603_NEW"	"2"	"0603WAF3301T5E"	"UNI-ROYAL(厚声)"	"LCSC"	"C22978"	""
"8"	"SSD1603"	"U2"	"PIN HEADER CONNECTOR 4 PINS, PITCH 2.54MM"	"1"	""	""	""	""	""
"9"	"TZT Rotary Encoder"	"U3"	"TZT ROTARY ENCODER MODULE FOR ARDUINO EC11"	"1"	"EC11"	"Farnell"	"AliExpress"	"EC11"	""
